alt,peso,Faixa Etária
0.8901403303186207,?,Criança
2.1580343228546965,93.02712684686915,Adulto
?,16.43088208904979,Criança
1.2900062439426576,64.6526519008075,Adulto
1.951341377481638,?,Adulto
1.0029209019418783,23.68198422890111,Criança
1.2510556072716852,30.871308588475088,Criança
1.441092327600191,74.0316983328304,Adulto
1.0826272051526327,22.247003064719756,Criança
1.7131535992242517,80.53268988204948,Adulto
1.673236330068345,75.98726505043345,Adulto
1.5164841089199832,70.0518368583288,Adulto
2.0646280524136285,91.64486846019096,Adulto
0.8247730128594446,13.884592737457373,Criança
?,75.97625169308515,Adulto
0.9397633422982504,17.86054494625146,Criança
1.889349641752316,83.09448664912487,Adulto
1.1341550968626217,29.542676953585563,Criança
0.932310395608663,17.336188330286177,Criança
0.9805933317624518,20.590785564756438,Criança
