0,24,21
1,30,27
2,26,24
3,24,21
4,27,?
5,24,23
6,?,23
7,26,23
8,23,21
9,29,?
10,23,21
11,29,26
12,27,24
13,21,19
14,?,25
15,25,22
16,21,20
17,25,22
18,20,18
19,24,21
20,18,17
21,22,20
22,17,16
23,20,19
0,29,?
1,31,30
2,31,30
3,24,22
4,?,20
5,30,28
6,23,21
7,23,21
8,25,24
9,24,21
10,23,22
11,26,25
12,23,20
13,28,26
14,26,?
15,26,24
16,?,21
17,27,26
18,23,22
19,18,16
20,22,20
21,18,17
22,19,17
23,21,20
0,32,31
1,31,28
2,26,?
3,30,28
4,?,29
5,28,25
6,28,25
7,23,21
8,25,22
9,22,21
10,22,21
11,22,21
12,25,21
13,29,25
14,23,21
15,27,24
16,19,17
17,?,22
18,18,17
19,25,?
20,18,15
21,20,19
22,20,17
23,19,17
0,27,25
1,25,22
2,25,22
3,27,25
4,24,?
5,29,26
6,?,24
7,27,24
8,25,?
9,26,?
10,23,20
11,?,24
12,21,18
13,28,27
14,28,24
15,24,22
16,22,19
17,22,19
18,27,25
19,23,20
20,25,24
21,17,15
22,21,20
23,24,23
0,30,26
1,24,20
2,31,29
3,?,27
4,30,26
5,30,26
6,30,26
7,28,24
8,26,24
9,26,22
10,25,22
11,28,25
12,26,?
13,29,27
14,?,19
15,20,17
16,20,17
17,21,20
18,24,22
19,24,22
20,19,18
21,?,23
22,21,?
23,25,24
0,?,25
1,29,26
2,28,26
3,31,?
4,24,23
5,30,26
6,23,19
7,26,23
8,27,24
9,23,21
10,28,25
11,29,26
12,29,27
13,21,19
14,23,21
15,28,25
16,19,17
17,22,?
18,?,16
19,23,21
20,21,?
21,26,25
22,23,20
23,19,18
0,30,29
1,33,31
2,29,26
3,25,21
4,29,27
5,24,21
6,29,28
7,23,22
8,27,25
9,30,27
10,23,21
11,29,28
12,25,24
13,27,25
14,27,26
15,29,28
16,27,26
17,24,21
18,25,22
19,24,23
20,27,26
21,21,20
22,19,16
23,22,21
0,24,22
1,28,27
2,31,28
3,26,24
4,30,27
5,31,28
6,31,28
7,30,29
8,23,19
9,26,23
10,29,26
11,29,26
12,28,26
13,22,18
14,22,19
15,25,23
16,22,20
17,27,23
18,22,21
19,18,15
20,24,22
21,21,18
22,20,18
23,26,25
0,32,31
1,31,30
2,32,29
3,30,27
4,27,24
5,25,23
6,29,28
7,24,22
8,27,25
9,30,29
10,24,23
11,22,18
12,30,28
13,26,25
14,21,19
15,27,25
16,21,18
17,25,21
18,21,19
19,26,25
20,26,25
21,23,22
22,21,17
23,26,23
